USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12009066302	2880206	4297353	1.112	1.659	28.1106123	-80.5854961                                                                                                                                       
FL	12009066400	3060138	948190	1.182	0.366	28.1457522	-80.5888364                                                                                                                                        
FL	12009066500	2573951	772131	0.994	0.298	28.1574681	-80.6001469                                                                                                                                        
FL	12009066600	2564989	715179	0.99	0.276	28.1660195	-80.5908252                                                                                                                                         
FL	12009066700	3493566	2005599	1.349	0.774	28.1803626	-80.6040832                                                                                                                                       
FL	12009066800	1545698	535116	0.597	0.207	28.1886153	-80.596386                                                                                                                                         
FL	12009066900	3880270	4684883	1.498	1.809	28.1985801	-80.6095516                                                                                                                                       
FL	12009067100	8018169	22629261	3.096	8.737	28.2516298	-80.6100085                                                                                                                                      
FL	12009068101	2003510	13600473	0.774	5.251	28.2980754	-80.6266891                                                                                                                                      
FL	12009068102	4278798	7025786	1.652	2.713	28.3159279	-80.6379467                                                                                                                                       
FL	12009068400	1647610	6241484	0.636	2.41	28.3581478	-80.6291495                                                                                                                                        
FL	12009068501	1264764	8133042	0.488	3.14	28.3889594	-80.6091413                                                                                                                                        
FL	12009068502	1020958	549457	0.394	0.212	28.3855242	-80.5986155                                                                                                                                        
FL	12009068601	2999217	4187957	1.158	1.617	28.4037498	-80.6315353                                                                                                                                       
FL	12009068603	433411	0	0.167	0.	28.3938295	-80.6012389                                                                                                                                                 
FL	12009068604	2786035	1442429	1.076	0.557	28.4039749	-80.6010859                                                                                                                                       
FL	12009069100	9663434	8332089	3.731	3.217	28.3927469	-80.6827907                                                                                                                                       
